Date,AAPL,AMZN,MA,PLTR,TSLA,XOM
2023-01-08,128.13023376464844,86.08000183105469,362.81719970703125,6.400000095367432,113.05999755859375,102.4389877319336
2023-01-15,133.21116638183594,98.12000274658203,370.5635681152344,6.960000038146973,122.4000015258789,104.86719512939453
2023-01-22,136.28541564941406,97.25,371.3135681152344,7.019999980926514,133.4199981689453,105.05255889892578
2023-01-29,144.25274658203125,102.23999786376953,369.0932312011719,7.550000190734863,177.89999389648438,107.14710235595703
2023-02-05,152.72427368164062,103.38999938964844,368.9748229980469,8.40999984741211,189.97999572753906,103.72722625732422
2023-02-12,149.50230407714844,97.61000061035156,361.98822021484375,7.510000228881836,196.88999938964844,110.4465103149414
2023-02-19,151.0269317626953,97.19999694824219,356.3634948730469,9.199999809265137,208.30999755859375,103.92768859863281
2023-02-26,145.24525451660156,93.5,348.459228515625,8.09000015258789,196.8800048828125,103.43270111083984
2023-03-05,149.52210998535156,94.9000015258789,356.7286071777344,8.329999923706055,197.7899932861328,105.3565902709961
2023-03-12,147.01736450195312,90.7300033569336,342.5285339355469,7.349999904632568,173.44000244140625,100.658935546875
2023-03-19,153.4524688720703,98.94999694824219,345.0448913574219,7.880000114440918,180.1300048828125,93.2435302734375
2023-03-26,158.6500701904297,98.12999725341797,346.9889221191406,8.199999809265137,190.41000366210938,96.68973541259766
2023-04-02,163.25363159179688,103.29000091552734,358.6133728027344,8.449999809265137,207.4600067138672,102.41472625732422
2023-04-09,163.0160369873047,102.05999755859375,357.2586364746094,8.09000015258789,185.05999755859375,107.4486083984375
2023-04-16,163.56053161621094,102.51000213623047,368.09088134765625,8.8100004196167,185.0,108.38253021240234
2023-04-23,163.37242126464844,106.95999908447266,370.8681945800781,8.180000305175781,165.0800018310547,108.34516906738281
2023-04-30,167.9859161376953,105.44999694824219,375.60235595703125,7.75,164.30999755859375,110.5212173461914
2023-05-07,171.83706665039062,105.66000366210938,380.178466796875,7.409999847412109,170.05999755859375,101.49947357177734
2023-05-14,171.0833740234375,110.26000213623047,377.47039794921875,9.5,167.97999572753906,98.79107666015625
2023-05-21,173.6510467529297,116.25,381.07781982421875,11.710000038146973,180.13999938964844,100.10050201416016
2023-05-28,173.91871643066406,120.11000061035156,370.0083312988281,13.649999618530273,193.1699981689453,98.88528442382812
2023-06-04,179.39114379882812,124.25,369.37579345703125,14.520000457763672,213.97000122070312,99.62947845458984
2023-06-11,179.40110778808594,123.43000030517578,364.9183349609375,15.020000457763672,244.39999389648438,101.16498565673828
2023-06-18,183.3269805908203,125.48999786376953,372.1431579589844,16.299999237060547,260.5400085449219,99.03600311279297
2023-06-25,185.07180786132812,129.3300018310547,375.3849182128906,14.029999732971191,256.6000061035156,96.46424865722656
2023-07-02,192.2990264892578,130.36000061035156,388.7177734375,15.329999923706055,261.7699890136719,101.03311157226562
2023-07-09,189.037353515625,129.77999877929688,384.7071228027344,15.34000015258789,274.42999267578125,97.1801986694336
2023-07-16,189.04727172851562,134.67999267578125,398.3957824707031,16.399999618530273,281.3800048828125,95.0888900756836
2023-07-23,190.2864990234375,130.0,393.42706298828125,16.43000030517578,260.0199890136719,97.86788177490234
2023-07-30,194.14297485351562,132.2100067138672,388.943359375,17.809999465942383,266.44000244140625,98.12223815917969
2023-08-06,180.42222595214844,139.57000732421875,387.3498229980469,18.200000762939453,253.86000061035156,101.1932601928711
2023-08-13,176.49639892578125,138.41000366210938,390.9427185058594,15.40999984741211,242.64999389648438,105.3476333618164
2023-08-20,173.22042846679688,133.22000122070312,388.1614990234375,14.399999618530273,215.49000549316406,104.51114654541016
2023-08-27,177.31044006347656,133.25999450683594,398.77191162109375,14.529999732971191,238.58999633789062,102.81108856201172
2023-09-03,188.0814971923828,138.1199951171875,411.3222961425781,15.180000305175781,245.00999450683594,107.81629180908203
2023-09-10,176.88356018066406,138.22999572753906,410.5997619628906,15.130000114440918,248.5,109.80127716064453
2023-09-17,173.73663330078125,140.38999938964844,410.0751647949219,15.329999923706055,274.3900146484375,110.83651733398438
2023-09-24,173.5182342529297,129.1199951171875,398.1087341308594,14.130000114440918,244.8800048828125,109.16494750976562
2023-10-01,169.96429443359375,127.12000274658203,391.86322021484375,16.0,250.22000122070312,111.67230224609375
2023-10-08,176.1986083984375,127.95999908447266,394.47320556640625,16.610000610351562,260.5299987792969,101.78533172607422
2023-10-15,177.54872131347656,129.7899932861328,394.5326843261719,17.360000610351562,251.1199951171875,104.34968566894531
2023-10-22,171.6221466064453,125.16999816894531,381.0323486328125,16.110000610351562,211.99000549316406,105.49888610839844
2023-10-29,166.9960479736328,127.73999786376953,360.8809509277344,15.069999694824219,207.3000030517578,100.24674224853516
2023-11-05,175.36468505859375,138.60000610351562,382.6579284667969,18.889999389648438,219.9600067138672,102.36470031738281
2023-11-12,185.2875518798828,143.55999755859375,390.9147033691406,19.670000076293945,214.64999389648438,98.53717803955078
2023-11-19,188.55792236328125,145.17999267578125,396.7827453613281,20.489999771118164,234.3000030517578,100.59795379638672
2023-11-26,188.83624267578125,146.74000549316406,408.87554931640625,19.200000762939453,235.4499969482422,100.22415161132812
2023-12-03,190.0986785888672,147.02999877929688,410.71917724609375,20.270000457763672,238.8300018310547,98.7098159790039
2023-12-10,194.5419921875,147.4199981689453,408.53851318359375,17.770000457763672,243.83999633789062,95.41278076171875
2023-12-17,196.39088439941406,149.97000122070312,414.8922119140625,18.200000762939453,253.5,96.7066879272461
2023-12-24,192.44459533691406,153.4199981689453,420.3735656738281,17.40999984741211,252.5399932861328,97.6747055053711
2023-12-31,191.38096618652344,151.94000244140625,422.7624206542969,17.170000076293945,248.47999572753906,95.82492065429688
2024-01-07,180.0987091064453,145.24000549316406,415.7347412109375,15.979999542236328,237.49000549316406,98.36477661132812
2024-01-14,184.8104248046875,154.6199951171875,426.0000305175781,16.760000228881836,218.88999938964844,95.79615020751953
2024-01-21,190.41676330566406,155.33999633789062,433.6245422363281,16.780000686645508,212.19000244140625,92.92084503173828
2024-01-28,191.27162170410156,159.1199951171875,435.3619079589844,16.350000381469727,183.25,98.71939849853516
2024-02-04,184.7408447265625,171.80999755859375,457.2525939941406,17.020000457763672,187.91000366210938,97.73221588134766
2024-02-11,187.9624786376953,174.4499969482422,454.5721435546875,24.3799991607666,193.57000732421875,97.54051971435547
2024-02-18,181.4532012939453,169.50999450683594,464.748046875,24.440000534057617,199.9499969482422,100.34303283691406
2024-02-25,181.6622314453125,174.99000549316406,469.9998779296875,22.969999313354492,191.97000122070312,100.44943237304688
2024-03-03,178.81565856933594,178.22000122070312,473.1866455078125,24.93000030517578,202.63999938964844,102.3841323852539
2024-03-10,169.92762756347656,175.35000610351562,465.8699035644531,26.040000915527344,175.33999633789062,104.84119415283203
2024-03-17,171.80874633789062,174.4199981689453,472.3924560546875,23.489999771118164,163.57000732421875,107.63682556152344
2024-03-24,171.4703369140625,178.8699951171875,478.19024658203125,24.18000030517578,170.8300018310547,109.78434753417969
2024-03-31,170.67410278320312,180.3800048828125,478.0909729003906,23.010000228881836,175.7899932861328,112.4445571899414
2024-04-07,168.7830352783203,185.07000732421875,473.702880859375,22.959999084472656,164.89999389648438,117.40705871582031
2024-04-14,175.72027587890625,186.1300048828125,462.6578674316406,22.670000076293945,171.0500030517578,116.43970489501953
2024-04-21,164.2245635986328,174.6300048828125,452.7263488769531,20.469999313354492,147.0500030517578,115.9656982421875
